,AUC,accuracy,combination,std,,
0,0.738289337,0.86335527,"(133, 124)",0.008636734,,
1,0.735881067,0.864179464,"(133, 22)",0.015645931,,0.882506706
2,0.72984242,0.869275665,"(133, 120)",0.015807244,,
3,0.745003738,0.861932886,"(133, 102)",0.008129021,,
4,0.741689671,0.863815904,"(133, 91)",0.010205884,,
5,0.742020359,0.862184911,"(133, 27)",0.010025637,,
6,0.739382045,0.862188385,"(124, 22)",0.011615213,,
7,0.728951001,0.865858018,"(124, 120)",0.014349884,,
8,0.75513285,0.856331682,"(124, 102)",0.006205467,,
9,0.731905625,0.860668124,"(124, 91)",0.012473943,,
10,0.729957442,0.865424699,"(124, 27)",0.016951423,,
11,0.747102887,0.860618088,"(22, 120)",0.011565677,,
12,0.744651484,0.861620081,"(22, 102)",0.011620676,,
13,0.746614044,0.860873793,"(22, 91)",0.012678644,,
14,0.740862951,0.862000829,"(22, 27)",0.013733405,,
15,0.735931389,0.867735757,"(120, 102)",0.015345062,,
16,0.73060444,0.862738407,"(120, 91)",0.013656171,,
17,0.744061997,0.860919265,"(120, 27)",0.016523886,,
18,0.748008684,0.859546032,"(102, 91)",0.016764774,,
19,0.743077122,0.85883609,"(102, 27)",0.013135127,,
20,0.739878077,0.860362292,"(91, 27)",0.016111222,,
21,0.753328445,0.871068201,"(133, 124, 22)",0.011811885,,
22,0.723832528,0.875384,"(133, 124, 120)",0.015312304,,
23,0.739267023,0.867500432,"(133, 124, 102)",0.005531197,,
24,0.743077122,0.871690326,"(133, 124, 91)",0.008314415,,
25,0.739346101,0.868242592,"(133, 124, 27)",0.011755531,,
26,0.738857258,0.87230106,"(133, 22, 120)",0.011314562,,
27,0.746017368,0.866470288,"(133, 22, 102)",0.005767691,,
28,0.741545894,0.868496273,"(133, 22, 91)",0.007545741,,
29,0.761401541,0.869879323,"(133, 22, 27)",0.009687157,,
30,0.742983667,0.872198254,"(133, 120, 102)",0.012989308,,
31,0.736046411,0.870655296,"(133, 120, 91)",0.007989544,,
32,0.739180757,0.873025908,"(133, 120, 27)",0.01370131,,
33,0.744263285,0.86630319,"(133, 102, 91)",0.006281448,,
34,0.7498706,0.866270178,"(133, 102, 27)",0.009503465,,
35,0.735658213,0.868386381,"(133, 91, 27)",0.01116367,,
36,0.73846187,0.868659023,"(124, 22, 120)",0.011435594,,
37,0.74448614,0.869539525,"(124, 22, 102)",0.011668263,,
38,0.735162181,0.866889386,"(124, 22, 91)",0.006017311,,
39,0.747685185,0.872745599,"(124, 22, 27)",0.01310444,,
40,0.741538705,0.870740451,"(124, 120, 102)",0.012254334,,
41,0.725450023,0.871189217,"(124, 120, 91)",0.010167686,,
42,0.73314211,0.875793401,"(124, 120, 27)",0.014842581,,
43,0.741294283,0.861597837,"(124, 102, 91)",0.011275723,,
44,0.749252358,0.868244819,"(124, 102, 27)",0.012834875,,
45,0.733235565,0.866481531,"(124, 91, 27)",0.009139673,,
46,0.739978721,0.867744901,"(22, 120, 102)",0.008740443,,
47,0.746441511,0.866758318,"(22, 120, 91)",0.010006056,,
48,0.745097193,0.868426824,"(22, 120, 27)",0.008954128,,
49,0.757613009,0.871774226,"(22, 102, 91)",0.008892779,,
50,0.745240971,0.871952673,"(22, 102, 27)",0.010301344,,
51,0.745611197,0.867215588,"(22, 91, 27)",0.014066825,,
52,0.750050322,0.866838891,"(120, 102, 91)",0.015716326,,
